Record Length,4500,,Source,CH1
Sample Interval,CH1:0.0000000100000,,Second,Volt
,,,-0.00002070000,2.68000,
,,,-0.00002069000,2.64000,
,,,-0.00002068000,2.64000,
,,,-0.00002067000,2.60000,
,,,-0.00002066000,2.64000,
,,,-0.00002065000,2.64000,
,,,-0.00002064000,2.68000,
,,,-0.00002063000,2.60000,
,,,-0.00002062000,2.64000,
,,,-0.00002061000,2.68000,
,,,-0.00002060000,2.64000,
,,,-0.00002059000,2.68000,
,,,-0.00002058000,2.64000,
,,,-0.00002057000,2.60000,
,,,-0.00002056000,2.60000,
,,,-0.00002055000,2.64000,
,,,-0.00002054000,2.64000,
,,,-0.00002053000,2.60000,
,,,-0.00002052000,2.68000,
,,,-0.00002051000,2.64000,
,,,-0.00002050000,2.68000,
,,,-0.00002049000,2.68000,
,,,-0.00002048000,2.68000,
,,,-0.00002047000,2.60000,
,,,-0.00002046000,2.68000,
,,,-0.00002045000,2.64000,
,,,-0.00002044000,2.60000,
,,,-0.00002043000,2.64000,
,,,-0.00002042000,2.64000,
,,,-0.00002041000,2.60000,
,,,-0.00002040000,2.60000,
,,,-0.00002039000,2.68000,
,,,-0.00002038000,2.68000,
,,,-0.00002037000,2.60000,
,,,-0.00002036000,2.64000,
,,,-0.00002035000,2.60000,
,,,-0.00002034000,2.64000,
,,,-0.00002033000,2.64000,
,,,-0.00002032000,2.64000,
,,,-0.00002031000,2.60000,
,,,-0.00002030000,2.64000,
,,,-0.00002029000,2.68000,
,,,-0.00002028000,2.64000,
,,,-0.00002027000,2.68000,
,,,-0.00002026000,2.60000,
,,,-0.00002025000,2.68000,
,,,-0.00002024000,2.64000,
,,,-0.00002023000,2.68000,
,,,-0.00002022000,2.68000,
,,,-0.00002021000,2.68000,
,,,-0.00002020000,2.60000,
,,,-0.00002019000,2.68000,
,,,-0.00002018000,2.68000,
,,,-0.00002017000,2.60000,
,,,-0.00002016000,2.68000,
,,,-0.00002015000,2.64000,
,,,-0.00002014000,2.64000,
,,,-0.00002013000,2.64000,
,,,-0.00002012000,2.64000,
,,,-0.00002011000,2.64000,
,,,-0.00002010000,2.68000,
,,,-0.00002009000,2.68000,
,,,-0.00002008000,2.64000,
,,,-0.00002007000,2.68000,
,,,-0.00002006000,2.64000,
,,,-0.00002005000,2.64000,
,,,-0.00002004000,2.68000,
,,,-0.00002003000,2.64000,
,,,-0.00002002000,2.60000,
,,,-0.00002001000,2.68000,
,,,-0.00002000000,2.64000,
,,,-0.00001999000,2.64000,
,,,-0.00001998000,2.68000,
,,,-0.00001997000,2.68000,
,,,-0.00001996000,2.60000,
,,,-0.00001995000,2.68000,
,,,-0.00001994000,2.68000,
,,,-0.00001993000,2.60000,
,,,-0.00001992000,2.64000,
,,,-0.00001991000,2.68000,
,,,-0.00001990000,2.68000,
,,,-0.00001989000,2.68000,
,,,-0.00001988000,2.64000,
,,,-0.00001987000,2.68000,
,,,-0.00001986000,2.64000,
,,,-0.00001985000,2.60000,
,,,-0.00001984000,2.60000,
,,,-0.00001983000,2.64000,
,,,-0.00001982000,2.68000,
,,,-0.00001981000,2.64000,
,,,-0.00001980000,2.68000,
,,,-0.00001979000,2.64000,
,,,-0.00001978000,2.60000,
,,,-0.00001977000,2.60000,
,,,-0.00001976000,2.60000,
,,,-0.00001975000,2.64000,
,,,-0.00001974000,2.68000,
,,,-0.00001973000,2.68000,
,,,-0.00001972000,2.60000,
,,,-0.00001971000,2.68000,
,,,-0.00001970000,2.68000,
,,,-0.00001969000,2.64000,
,,,-0.00001968000,2.64000,
,,,-0.00001967000,2.68000,
,,,-0.00001966000,2.60000,
,,,-0.00001965000,2.64000,
,,,-0.00001964000,2.68000,
,,,-0.00001963000,2.68000,
,,,-0.00001962000,2.64000,
,,,-0.00001961000,2.68000,
,,,-0.00001960000,2.68000,
,,,-0.00001959000,2.68000,
,,,-0.00001958000,2.68000,
,,,-0.00001957000,2.64000,
,,,-0.00001956000,2.68000,
,,,-0.00001955000,2.68000,
,,,-0.00001954000,2.60000,
,,,-0.00001953000,2.64000,
,,,-0.00001952000,2.60000,
,,,-0.00001951000,2.64000,
,,,-0.00001950000,2.68000,
,,,-0.00001949000,2.68000,
,,,-0.00001948000,2.60000,
,,,-0.00001947000,2.68000,
,,,-0.00001946000,2.68000,
,,,-0.00001945000,2.60000,
,,,-0.00001944000,2.64000,
,,,-0.00001943000,2.64000,
,,,-0.00001942000,2.60000,
,,,-0.00001941000,2.60000,
,,,-0.00001940000,2.68000,
,,,-0.00001939000,2.60000,
,,,-0.00001938000,2.68000,
,,,-0.00001937000,2.68000,
,,,-0.00001936000,2.64000,
,,,-0.00001935000,2.64000,
,,,-0.00001934000,2.60000,
,,,-0.00001933000,2.64000,
,,,-0.00001932000,2.64000,
,,,-0.00001931000,2.68000,
,,,-0.00001930000,2.64000,
,,,-0.00001929000,2.60000,
,,,-0.00001928000,2.64000,
,,,-0.00001927000,2.60000,
,,,-0.00001926000,2.60000,
,,,-0.00001925000,2.68000,
,,,-0.00001924000,2.64000,
,,,-0.00001923000,2.64000,
,,,-0.00001922000,2.68000,
,,,-0.00001921000,2.64000,
,,,-0.00001920000,2.60000,
,,,-0.00001919000,2.68000,
,,,-0.00001918000,2.60000,
,,,-0.00001917000,2.60000,
,,,-0.00001916000,2.64000,
,,,-0.00001915000,2.68000,
,,,-0.00001914000,2.68000,
,,,-0.00001913000,2.64000,
,,,-0.00001912000,2.60000,
,,,-0.00001911000,2.60000,
,,,-0.00001910000,2.68000,
,,,-0.00001909000,2.64000,
,,,-0.00001908000,2.64000,
,,,-0.00001907000,2.68000,
,,,-0.00001906000,2.60000,
,,,-0.00001905000,2.64000,
,,,-0.00001904000,2.64000,
,,,-0.00001903000,2.60000,
,,,-0.00001902000,2.68000,
,,,-0.00001901000,2.68000,
,,,-0.00001900000,2.60000,
,,,-0.00001899000,2.64000,
,,,-0.00001898000,2.68000,
,,,-0.00001897000,2.64000,
,,,-0.00001896000,2.64000,
,,,-0.00001895000,2.64000,
,,,-0.00001894000,2.68000,
,,,-0.00001893000,2.60000,
,,,-0.00001892000,2.68000,
,,,-0.00001891000,2.64000,
,,,-0.00001890000,2.64000,
,,,-0.00001889000,2.68000,
,,,-0.00001888000,2.64000,
,,,-0.00001887000,2.68000,
,,,-0.00001886000,2.68000,
,,,-0.00001885000,2.68000,
,,,-0.00001884000,2.60000,
,,,-0.00001883000,2.68000,
,,,-0.00001882000,2.68000,
,,,-0.00001881000,2.60000,
,,,-0.00001880000,2.64000,
,,,-0.00001879000,2.64000,
,,,-0.00001878000,2.68000,
,,,-0.00001877000,2.64000,
,,,-0.00001876000,2.68000,
,,,-0.00001875000,2.68000,
,,,-0.00001874000,2.68000,
,,,-0.00001873000,2.72000,
,,,-0.00001872000,2.68000,
,,,-0.00001871000,2.68000,
,,,-0.00001870000,2.60000,
,,,-0.00001869000,2.56000,
,,,-0.00001868000,2.52000,
,,,-0.00001867000,2.52000,
,,,-0.00001866000,2.52000,
,,,-0.00001865000,2.56000,
,,,-0.00001864000,2.56000,
,,,-0.00001863000,2.60000,
,,,-0.00001862000,2.60000,
,,,-0.00001861000,2.64000,
,,,-0.00001860000,2.64000,
,,,-0.00001859000,2.60000,
,,,-0.00001858000,2.64000,
,,,-0.00001857000,2.60000,
,,,-0.00001856000,2.64000,
,,,-0.00001855000,2.68000,
,,,-0.00001854000,2.72000,
,,,-0.00001853000,2.72000,
,,,-0.00001852000,2.68000,
,,,-0.00001851000,2.68000,
,,,-0.00001850000,2.60000,
,,,-0.00001849000,2.60000,
,,,-0.00001848000,2.56000,
,,,-0.00001847000,2.60000,
,,,-0.00001846000,2.60000,
,,,-0.00001845000,2.60000,
,,,-0.00001844000,2.68000,
,,,-0.00001843000,2.60000,
,,,-0.00001842000,2.64000,
,,,-0.00001841000,2.68000,
,,,-0.00001840000,2.68000,
,,,-0.00001839000,2.68000,
,,,-0.00001838000,2.72000,
,,,-0.00001837000,2.72000,
,,,-0.00001836000,2.68000,
,,,-0.00001835000,2.68000,
,,,-0.00001834000,2.64000,
,,,-0.00001833000,2.60000,
,,,-0.00001832000,2.60000,
,,,-0.00001831000,2.60000,
,,,-0.00001830000,2.68000,
,,,-0.00001829000,2.68000,
,,,-0.00001828000,2.72000,
,,,-0.00001827000,2.68000,
,,,-0.00001826000,2.72000,
,,,-0.00001825000,2.64000,
,,,-0.00001824000,2.60000,
,,,-0.00001823000,2.60000,
,,,-0.00001822000,2.60000,
,,,-0.00001821000,2.60000,
,,,-0.00001820000,2.60000,
,,,-0.00001819000,2.68000,
,,,-0.00001818000,2.68000,
,,,-0.00001817000,2.68000,
,,,-0.00001816000,2.64000,
,,,-0.00001815000,2.64000,
,,,-0.00001814000,2.68000,
,,,-0.00001813000,2.68000,
,,,-0.00001812000,2.60000,
,,,-0.00001811000,2.68000,
,,,-0.00001810000,2.68000,
,,,-0.00001809000,2.64000,
,,,-0.00001808000,2.68000,
,,,-0.00001807000,2.60000,
,,,-0.00001806000,2.60000,
,,,-0.00001805000,2.64000,
,,,-0.00001804000,2.68000,
,,,-0.00001803000,2.64000,
,,,-0.00001802000,2.68000,
,,,-0.00001801000,2.68000,
,,,-0.00001800000,2.68000,
,,,-0.00001799000,2.68000,
,,,-0.00001798000,2.60000,
,,,-0.00001797000,2.60000,
,,,-0.00001796000,2.60000,
,,,-0.00001795000,2.64000,
,,,-0.00001794000,2.60000,
,,,-0.00001793000,2.68000,
,,,-0.00001792000,2.68000,
,,,-0.00001791000,2.68000,
,,,-0.00001790000,2.68000,
,,,-0.00001789000,2.60000,
,,,-0.00001788000,2.60000,
,,,-0.00001787000,2.64000,
,,,-0.00001786000,2.60000,
,,,-0.00001785000,2.64000,
,,,-0.00001784000,2.68000,
,,,-0.00001783000,2.68000,
,,,-0.00001782000,2.68000,
,,,-0.00001781000,2.68000,
,,,-0.00001780000,2.68000,
,,,-0.00001779000,2.68000,
,,,-0.00001778000,2.68000,
,,,-0.00001777000,2.68000,
,,,-0.00001776000,2.68000,
,,,-0.00001775000,2.68000,
,,,-0.00001774000,2.68000,
,,,-0.00001773000,2.68000,
,,,-0.00001772000,2.68000,
,,,-0.00001771000,2.60000,
,,,-0.00001770000,2.60000,
,,,-0.00001769000,2.60000,
,,,-0.00001768000,2.64000,
,,,-0.00001767000,2.60000,
,,,-0.00001766000,2.60000,
,,,-0.00001765000,2.68000,
,,,-0.00001764000,2.60000,
,,,-0.00001763000,2.60000,
,,,-0.00001762000,2.60000,
